,IndividualProject,Age,Gender,City,Influenced,Perseverance,DesireToTakeInitiative,Competitiveness,SelfReliance,StrongNeedToAchieve,SelfConfidence,GoodPhysicalHealth,MentalDisorder,KeyTraits
158,Yes,21,Male,Yes,Yes,2,1,2,2,2,1,1,No,Vision
159,No,20,Female,No,Yes,2,1,1,2,2,2,1,No,Resilience
160,No,21,Male,No,No,1,1,1,1,5,5,5,No,Passion
161,Yes,25,Female,Yes,Yes,4,4,3,3,3,4,4,No,Passion
162,Yes,22,Male,No,Yes,2,1,2,3,2,3,3,Yes,Vision
163,Yes,21,Male,No,Yes,2,2,3,3,3,3,3,No,Passion
164,Yes,21,Male,Yes,No,4,4,4,3,4,5,5,No,Passion
165,Yes,18,Male,Yes,Yes,5,5,5,5,5,5,5,No,Vision
166,No,19,Female,Yes,No,4,5,5,5,5,5,5,Yes,Vision
167,Yes,22,Female,Yes,No,3,3,3,3,3,3,2,No,Positivity
168,No,21,Female,Yes,Yes,4,5,5,5,5,4,2,Yes,Positivity
169,Yes,20,Male,Yes,Yes,4,4,4,4,4,4,4,Yes,Work Ethic
170,Yes,18,Female,Yes,Yes,4,3,4,4,3,3,4,No,Passion
171,No,18,Male,No,Yes,3,3,4,4,4,3,4,No,Passion
172,Yes,21,Male,Yes,Yes,3,4,4,4,5,4,5,Yes,Passion
173,Yes,19,Female,Yes,No,2,2,2,2,1,2,2,No,Passion
174,Yes,20,Male,Yes,Yes,2,3,3,3,3,3,3,No,Work Ethic
175,Yes,20,Male,No,Yes,2,1,1,2,3,1,3,No,Passion
176,Yes,20,Female,Yes,Yes,4,5,5,4,5,5,5,No,Work Ethic
177,Yes,19,Female,Yes,Yes,4,5,5,5,5,5,5,No,Passion
178,No,19,Female,No,No,2,2,1,2,2,2,3,No,Positivity
179,No,18,Male,Yes,Yes,3,3,2,2,3,3,2,No,Work Ethic
180,Yes,20,Female,Yes,No,4,5,4,4,3,5,5,Yes,Passion
181,Yes,22,Male,No,Yes,4,3,4,4,5,3,4,No,Passion
182,Yes,19,Male,Yes,Yes,4,3,3,4,4,3,3,No,Work Ethic
183,Yes,19,Male,Yes,Yes,3,4,5,5,4,4,2,No,Work Ethic
184,No,20,Male,Yes,Yes,4,5,5,4,5,4,5,Yes,Passion
185,Yes,19,Male,Yes,Yes,3,4,3,4,5,4,4,No,Vision
186,No,17,Male,Yes,Yes,5,5,4,4,5,5,4,No,Positivity
187,No,21,Female,No,Yes,3,1,2,3,2,2,1,Yes,Passion
188,Yes,20,Female,Yes,No,4,4,4,4,4,4,2,Yes,Work Ethic
189,No,18,Female,Yes,No,4,5,3,2,3,1,1,Yes,Passion
190,No,17,Male,No,Yes,3,4,4,2,3,2,3,No,Passion
191,Yes,21,Female,Yes,No,4,5,4,5,4,4,4,Yes,Positivity
192,Yes,19,Female,No,Yes,4,4,4,5,4,4,4,No,Passion
193,Yes,20,Male,Yes,Yes,2,3,2,3,2,3,2,No,Positivity
194,No,20,Male,Yes,Yes,4,4,4,5,4,4,4,No,Work Ethic
195,No,19,Male,Yes,Yes,5,5,5,5,5,5,5,No,Positivity
196,Yes,19,Female,Yes,No,3,4,5,4,4,3,3,Yes,Work Ethic
197,Yes,20,Male,Yes,Yes,3,4,5,5,4,5,5,No,Positivity
198,Yes,19,Male,Yes,Yes,4,5,5,5,4,5,4,No,Passion
199,No,19,Male,Yes,No,3,3,3,3,3,3,3,No,Positivity
200,Yes,20,Male,Yes,Yes,4,4,4,4,4,5,3,No,Work Ethic
201,No,19,Male,No,Yes,4,5,5,4,4,4,5,No,Positivity
202,Yes,17,Male,Yes,Yes,4,5,5,3,4,4,4,No,Vision
203,Yes,20,Female,Yes,Yes,3,4,3,4,3,4,3,Yes,Positivity
204,Yes,20,Female,Yes,Yes,2,3,3,2,3,2,2,No,Passion
205,Yes,20,Male,Yes,Yes,4,4,5,3,4,4,5,Yes,Positivity
206,Yes,21,Male,Yes,Yes,4,5,4,5,4,4,3,Yes,Positivity
207,Yes,21,Female,No,No,2,2,3,3,3,3,2,No,Positivity
208,No,20,Male,Yes,No,4,5,4,4,5,5,5,No,Vision
209,Yes,19,Male,Yes,No,2,2,3,3,2,2,3,No,Positivity
210,Yes,20,Female,Yes,Yes,2,3,2,3,3,3,2,No,Passion
211,No,19,Male,Yes,Yes,4,5,5,5,5,5,5,Yes,Vision
212,Yes,20,Female,Yes,Yes,4,5,5,4,4,5,5,No,Work Ethic
213,No,19,Male,Yes,No,3,2,3,3,4,2,4,Yes,Work Ethic
214,Yes,19,Male,Yes,Yes,4,5,4,3,4,4,5,Yes,Positivity
215,Yes,19,Male,Yes,No,2,2,2,2,2,2,2,No,Work Ethic
216,Yes,22,Female,Yes,Yes,3,4,4,3,4,4,3,No,Vision
217,No,19,Male,Yes,No,1,2,2,3,3,2,2,No,Passion
218,Yes,18,Male,No,Yes,3,5,3,5,5,5,2,No,Passion
